# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Wed Jun  8 11:30:42 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8264;762;-1358;9;-13;8
4464676;K;-8232;844;-1544;195;-37;81
4464676;L;-8222;-714;640;938;-92;24
4464676;M;-8046;2056;424;215;-38;11
4464676;N;-7704;732;-2760;80;-70;-68
4464676;O;-6248;-2038;3698;-128;-792;-910
4473008;J;-8250;742;-1464;5;-4;12
4473008;K;-8252;914;-1496;182;-32;67
4473008;L;-8170;-636;516;928;-100;84
4473008;M;-8038;2084;386;217;-42;16
4473008;N;-7634;786;-2712;79;-65;-68
4473008;O;-6100;-2312;3700;-5;-671;-801
4481168;J;-8274;770;-1344;12;-8;15
4481168;K;-8300;876;-1562;173;-35;69
4481168;L;-8154;-534;498;898;-84;120
4481168;M;-8034;2102;334;219;-39;19
4481168;N;-7656;752;-2782;91;-59;-63
4481168;O;-6280;-2106;3728;104;-588;-699
4489412;J;-8300;742;-1408;14;-4;21
4489412;K;-8250;862;-1610;152;-28;56
4489412;L;-8200;-412;492;952;-316;108
4489412;M;-7986;2100;320;210;-41;14
4489412;N;-7638;744;-2668;96;-61;-59
4489412;O;-6402;-1892;3726;103;-526;-602
4497572;J;-8296;740;-1350;7;1;17
4497572;K;-8254;950;-1610;141;-25;47
4497572;L;-8172;-506;602;782;-48;96
4497572;M;-8048;2124;346;199;-38;19
4497572;N;-7702;782;-2720;98;-65;-59
4497572;O;-6314;-2024;3854;75;-451;-523
4505904;J;-8238;698;-1326;3;-11;9
4505904;K;-8284;956;-1556;118;-32;43
4505904;L;-8216;-382;490;698;-136;56
4505904;M;-8040;2128;360;199;-37;19
4505904;N;-7712;740;-2762;110;-65;-49
4505904;O;-6208;-2158;3884;107;-368;-453
4514148;J;-8308;770;-1410;-1;-8;14
4514148;K;-8216;934;-1586;84;-20;35
4514148;L;-8268;-418;508;584;-116;68
4514148;M;-8030;2144;352;202;-43;18
4514148;N;-7676;702;-2754;109;-65;-48
4514148;O;-6216;-2218;3910;182;-282;-372
4522308;J;-8300;758;-1374;4;-6;9
4522308;K;-8286;942;-1578;65;-14;30
4522308;L;-8284;-398;562;494;-104;72
4522308;M;-8064;2100;408;199;-39;26
4522308;N;-7684;720;-2694;119;-71;-41
4522308;O;-6304;-2124;3870;246;-209;-276
4530468;J;-8314;810;-1418;0;-19;18
4530468;K;-8350;860;-1484;48;-18;22
4530468;L;-8244;-414;524;380;-94;96
4530468;M;-8086;2118;324;211;-39;23
4530468;N;-7702;728;-2680;119;-73;-43
4530468;O;-6270;-2156;4078;281;-138;-215
4538796;J;-8344;762;-1388;2;-15;9
4538796;K;-8306;842;-1500;28;-8;21
4538796;L;-8234;-474;628;294;-92;108
4538796;M;-8044;2082;432;207;-41;31
4538796;N;-7752;782;-2800;127;-72;-38
4538796;O;-6182;-2022;3974;276;-72;-124
4547044;J;-8242;750;-1398;1;-9;6
4547044;K;-8266;840;-1480;11;-11;16
4547044;L;-8200;-502;632;228;-86;116
4547044;M;-8058;1994;356;220;-35;35
4547044;N;-7720;714;-2760;126;-72;-39
4547044;O;-6090;-2134;3950;280;3;-45
4555288;J;-8254;692;-1412;-1;-6;8
4555288;K;-8272;778;-1340;5;1;19
4555288;L;-8202;-568;581;186;-88;116
4555288;M;-8066;2016;344;221;-42;25
4555288;N;-7678;792;-2766;126;-72;-36
4555288;O;-6088;-2096;3966;266;78;32
4563532;J;-8258;800;-1406;11;-7;5
4563532;K;-8336;826;-1386;2;-4;17
4563532;L;-8230;-612;668;160;-82;116
4563532;M;-8016;2080;444;233;-39;32
4563532;N;-7702;776;-2814;131;-70;-37
4563532;O;-6136;-2100;3988;264;153;106
4571864;J;-8290;774;-1414;8;-8;15
4571864;K;-8296;878;-1444;6;7;19
4571864;L;-8276;-652;648;168;-80;122
4571864;M;-8056;2130;346;239;-39;20
4571864;N;-7684;760;-2802;132;-63;-34
4571864;O;-6132;-2094;4040;249;228;192
4580192;J;-8268;748;-1426;12;-8;13
4580192;K;-8348;864;-1398;1;3;11
4580192;L;-8226;-684;702;97;-50;71
4580192;M;-8050;2142;338;235;-40;26
4580192;N;-7700;804;-2736;132;-64;-41
4580192;O;-6062;-2130;3988;246;286;268
4588352;J;-8292;782;-1334;4;-7;11
4588352;K;-8318;756;-1448;1;9;11
4588352;L;-8240;-686;653;218;-116;142
4588352;M;-8046;2178;382;230;-39;26
4588352;N;-7798;796;-2800;134;-57;-41
4588352;O;-6092;-2194;4030;258;354;333
4596512;J;-8330;772;-1378;6;-10;18
4596512;K;-8340;768;-1438;4;9;14
4596512;L;-8220;-700;562;270;-108;154
4596512;M;-8054;2138;364;221;-47;22
4596512;N;-7716;744;-2764;144;-47;-41
4596512;O;-6096;-2130;4028;265;413;426
4604756;J;-8244;772;-1348;4;-10;13
4604756;K;-8332;744;-1382;26;3;20
4604756;L;-8216;-670;616;368;-212;288
4604756;M;-8014;2114;388;216;-44;20
4604756;N;-7710;750;-2746;147;-45;-36
4604756;O;-6182;-2166;4076;268;470;516
4612916;J;-8294;774;-1390;-3;-3;13
4612916;K;-8304;782;-1446;25;5;18
4612916;L;-8228;-632;666;306;-98;146
4612916;M;-8108;2122;334;210;-42;29
4612916;N;-7686;778;-2774;153;-48;-33
4612916;O;-6154;-2182;4092;285;521;609
4621164;J;-8282;752;-1370;10;-8;19
4621164;K;-8316;870;-1418;26;15;16
4621164;L;-8302;-620;630;388;-204;276
4621164;M;-8086;2204;370;215;-41;26
4621164;N;-7712;806;-2742;156;-47;-32
4621164;O;-6180;-2186;4198;292;572;700
4629492;J;-8274;780;-1348;1;-14;18
4629492;K;-8318;858;-1372;25;12;19
4629492;L;-8284;-720;538;388;-228;300
4629492;M;-8086;2172;316;206;-38;35
4629492;N;-7736;734;-2756;168;-42;-31
4629492;O;-6198;-2286;4190;290;624;777
4637736;J;-8374;736;-1384;4;-10;14
4637736;K;-8312;820;-1416;26;9;14
4637736;L;-8282;-712;1089;294;-104;156
4637736;M;-8086;2160;218;204;-40;30
4637736;N;-7768;770;-2678;172;-43;-20
4637736;O;-6282;-2248;4142;278;674;856
4645904;J;-8316;784;-1400;-1;-10;2
4645904;K;-8322;772;-1426;20;9;21
4645904;L;-8310;-766;542;372;-144;584
4645904;M;-8144;2178;276;206;-44;32
4645904;N;-7754;750;-2648;178;-43;-14
4645904;O;-6324;-2252;4262;288;713;921
4654056;J;-8254;760;-1382;5;-13;12
4654056;K;-8326;780;-1442;15;12;35
4654056;L;-8234;-774;630;348;-176;568
4654056;M;-8024;2108;360;205;-39;27
4654056;N;-7770;770;-2700;179;-39;-13
4654056;O;-6330;-2252;4250;284;756;1004
4662216;J;-8220;754;-1388;-3;-12;4
4662216;K;-8338;756;-1318;23;12;40
4662216;L;-8194;-760;530;302;-102;152
4662216;M;-8034;2086;378;208;-41;29
4662216;N;-7758;784;-2736;180;-31;-9
4662216;O;-6318;-2266;4216;294;803;1064
4670376;J;-8312;726;-1332;2;-9;7
4670376;K;-8338;766;-1378;24;13;47
4670376;L;-8206;-684;1089;312;-106;134
4670376;M;-8062;2100;314;211;-48;32
4670376;N;-7774;766;-2666;184;-25;-11
4670376;O;-6382;-2248;4322;307;836;1131
4678536;J;-8286;718;-1364;6;-8;10
4678536;K;-8330;798;-1378;32;10;49
4678536;L;-8210;-726;596;376;-176;552
4678536;M;-8070;2100;384;225;-51;27
4678536;N;-7718;734;-2712;182;-21;-10
4678536;O;-6376;-2224;4214;314;877;1184
4686696;J;-8232;762;-1364;9;-13;4
4686696;K;-8326;866;-1452;27;12;52
4686696;L;-8246;-666;626;360;-224;276
4686696;M;-8098;2076;384;236;-51;22
4686696;N;-7718;740;-2804;176;-21;-7
4686696;O;-6380;-2136;4190;325;919;1249
4694856;J;-8314;732;-1372;11;-14;11
4694856;K;-8300;842;-1426;19;22;43
4694856;L;-8290;-658;632;292;-228;320
4694856;M;-8040;2068;402;250;-57;32
4694856;N;-7726;750;-2786;176;-16;-6
4694856;O;-6428;-2048;4218;324;951;1290
4703104;J;-8212;784;-1370;18;-14;12
4703104;K;-8314;838;-1398;8;24;50
4703104;L;-8254;-634;521;244;-112;148
4703104;M;-8078;2106;278;258;-55;24
4703104;N;-7716;720;-2742;185;-15;2
4703104;O;-6416;-2042;4150;314;990;1356
4711348;J;-8322;714;-1316;14;-15;8
4711348;K;-8286;784;-1436;-2;32;47
4711348;L;-8218;-632;602;246;-116;170
4711348;M;-7996;2128;356;264;-52;31
4711348;N;-7686;738;-2778;181;-10;1
4711348;O;-6448;-2032;4088;301;1032;1413
4719508;J;-8278;738;-1362;15;-11;9
4719508;K;-8294;736;-1416;6;29;48
4719508;L;-8186;-674;677;236;-118;176
4719508;M;-8070;2146;356;266;-58;26
4719508;N;-7682;778;-2800;190;-5;2
4719508;O;-6478;-2016;4180;291;1071;1476
