# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Tue Jun  7 11:44:30 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4637312;J;-8240;-1202;-1390;-9;11;-2
4637312;K;-8382;254;-1408;2;4;19
4637312;L;-8134;336;1712;80;-73;65
4637312;M;-8250;-74;-728;239;-48;0
4637312;N;-8152;1768;-756;97;5;-52
4637312;O;-7808;-1332;1968;-22;34;41
4645644;J;-8232;-1118;-1388;-10;13;-15
4645644;K;-8352;288;-1382;-11;8;14
4645644;L;-8052;310;1626;88;-53;52
4645644;M;-8270;-114;-698;234;-58;8
4645644;N;-8080;1836;-756;92;3;-54
4645644;O;-7854;-1346;1824;-18;41;42
4653804;J;-8162;-1112;-1446;17;16;-5
4653804;K;-8376;262;-1534;-16;15;27
4653804;L;-8122;308;1644;74;-61;56
4653804;M;-8300;-144;-754;240;-56;10
4653804;N;-8108;1822;-792;93;1;-55
4653804;O;-7826;-1332;1920;5;29;44
4661964;J;-8264;-1158;-1490;33;7;-2
4661964;K;-8324;284;-1394;-20;12;30
4661964;L;-8128;234;1564;77;-73;55
4661964;M;-8194;-70;-764;240;-50;17
4661964;N;-7994;1876;-730;87;2;-55
4661964;O;-7828;-1318;1934;28;39;48
4670208;J;-8202;-1204;-1470;46;6;-2
4670208;K;-8284;248;-1450;-21;19;31
4670208;L;-8216;228;1558;92;-57;57
4670208;M;-8200;-44;-804;228;-53;19
4670208;N;-8046;1856;-718;88;-4;-62
4670208;O;-7868;-1306;1996;52;34;52
4678452;J;-8236;-1170;-1396;45;-1;1
4678452;K;-8298;224;-1526;-14;17;34
4678452;L;-8134;176;1544;97;-66;56
4678452;M;-8176;22;-816;235;-53;15
4678452;N;-8076;1834;-760;88;0;-60
4678452;O;-7864;-1300;2016;71;34;67
4686612;J;-8216;-1176;-1410;42;-4;6
4686612;K;-8380;222;-1560;-6;12;36
4686612;L;-8196;232;1612;98;-61;61
4686612;M;-8206;78;-752;239;-53;13
4686612;N;-8034;1896;-756;92;0;-57
4686612;O;-7820;-1290;1974;83;28;67
4694944;J;-8176;-1108;-1410;27;3;16
4694944;K;-8364;258;-1474;4;0;38
4694944;L;-8132;310;1620;103;-61;60
4694944;M;-8256;62;-802;239;-44;15
4694944;N;-8052;1876;-710;84;9;-62
4694944;O;-7848;-1288;1954;81;26;73
4703188;J;-8198;-1128;-1434;15;-5;10
4703188;K;-8356;278;-1568;9;-4;44
4703188;L;-8166;342;1720;109;-64;66
4703188;M;-8262;134;-686;247;-37;16
4703188;N;-8036;1810;-760;87;13;-65
4703188;O;-7840;-1274;1912;86;26;72
4711348;J;-8230;-1104;-1436;14;6;0
4711348;K;-8362;250;-1498;9;-1;38
4711348;L;-8168;392;1632;105;-67;59
4711348;M;-8240;108;-754;243;-37;20
4711348;N;-8060;1878;-706;87;20;-63
4711348;O;-7948;-1274;1892;80;26;79
4719508;J;-8258;-1116;-1398;16;3;-10
4719508;K;-8354;288;-1468;2;-5;41
4719508;L;-8096;396;1714;103;-61;59
4719508;M;-8220;86;-776;243;-43;19
4719508;N;-8096;1816;-752;85;15;-61
4719508;O;-7862;-1362;1986;81;24;72
4727752;J;-8210;-1110;-1308;11;7;4
4727752;K;-8334;306;-1442;0;-9;27
4727752;L;-8092;458;1640;87;-62;52
4727752;M;-8250;62;-742;250;-44;24
4727752;N;-8098;1834;-754;87;17;-66
4727752;O;-7922;-1332;1938;89;25;72
4735912;J;-8264;-1130;-1460;19;16;-5
4735912;K;-8376;330;-1472;-9;-13;21
4735912;L;-8080;404;1694;87;-58;43
4735912;M;-8290;26;-654;246;-49;15
4735912;N;-8142;1838;-830;80;13;-63
4735912;O;-7890;-1338;2008;99;15;70
4744072;J;-8242;-1154;-1434;21;13;-15
