# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Tue Jun  7 11:16:43 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464764;J;-8258;-494;-1602;4;39;36
4464764;K;-8396;-394;-196;2;-51;-2
4464764;L;-7776;2814;-612;99;17;115
4464764;M;-8312;-1058;72;219;-61;-65
4464764;N;-8412;-272;136;51;34;-31
4464764;O;-7308;-3118;1866;-9;3;67
4473008;J;-8316;-544;-1554;5;34;43
4473008;K;-8462;-350;-184;-1;-55;6
4473008;L;-7758;2760;-562;101;15;115
4473008;M;-8260;-1080;130;225;-69;-66
4473008;N;-8364;-272;128;52;37;-32
4473008;O;-7290;-3160;1852;-35;5;71
4481168;J;-8274;-494;-1574;2;38;45
4481168;K;-8410;-366;-122;21;-55;1
4481168;L;-7758;2744;-540;100;12;119
4481168;M;-8264;-1044;114;222;-62;-65
4481168;N;-8396;-278;156;50;28;-25
4481168;O;-7292;-3178;1920;-42;-7;71
4489328;J;-8334;-514;-1590;5;31;43
4489328;K;-8460;-368;-176;8;-51;0
4489328;L;-7766;2802;-578;98;14;119
4489328;M;-8262;-1010;142;224;-58;-66
4489328;N;-8334;-246;140;49;41;-26
4489328;O;-7282;-3154;1930;-49;-10;77
4497488;J;-8252;-516;-1630;5;22;52
4497488;K;-8424;-392;-156;3;-48;-1
4497488;L;-7788;2730;-538;98;9;115
4497488;M;-8288;-1024;120;220;-58;-69
4497488;N;-8332;-244;14;50;26;-22
4497488;O;-7324;-3200;1828;-52;-6;78
4505816;J;-8234;-494;-1638;-13;23;48
4505816;K;-8474;-396;-100;2;-42;7
4505816;L;-7716;2782;-568;91;9;115
4505816;M;-8356;-1054;156;213;-61;-70
4505816;N;-8392;-236;180;49;23;-25
4505816;O;-7324;-3232;1794;-55;-8;77
4514064;J;-8318;-472;-1578;-21;17;51
4514064;K;-8436;-354;-74;7;-43;3
4514064;L;-7752;2792;-596;89;4;122
4514064;M;-8284;-1020;106;211;-51;-67
4514064;N;-8380;-222;94;41;22;-28
4514064;O;-7344;-3200;1836;-54;-9;85
4522224;J;-8258;-522;-1592;-26;13;54
4522224;K;-8506;-338;-126;5;-37;6
4522224;L;-7742;2690;-442;87;0;120
4522224;M;-8290;-986;106;208;-52;-75
4522224;N;-8398;-202;80;48;22;-23
4522224;O;-7384;-3214;1838;-50;-16;78
4530384;J;-8224;-498;-1602;-26;10;62
4530384;K;-8474;-360;-104;3;-33;9
4530384;L;-7766;2814;-580;88;-11;126
4530384;M;-8296;-1020;134;200;-50;-65
4530384;N;-8346;-274;74;52;12;-22
4530384;O;-7396;-3194;1770;-50;-9;91
4538544;J;-8378;-464;-1638;-35;8;61
4538544;K;-8454;-404;-100;6;-35;1
4538544;L;-7754;2748;-472;89;-1;126
4538544;M;-8296;-1016;126;195;-44;-74
4538544;N;-8366;-244;98;40;21;-20
4538544;O;-7388;-3204;1880;-53;-10;87
4546704;J;-8248;-506;-1578;-38;0;64
4546704;K;-8466;-418;-192;9;-31;5
4546704;L;-7758;2818;-556;80;-8;136
4546704;M;-8302;-1078;138;194;-47;-73
4546704;N;-8344;-206;200;41;11;-25
4546704;O;-7368;-3252;1890;-43;-2;86
4554864;J;-8300;-508;-1634;-47;-6;62
4554864;K;-8450;-356;-82;13;-30;7
4554864;L;-7730;2744;-538;70;-6;131
4554864;M;-8288;-1042;156;191;-42;-71
4554864;N;-8322;-234;138;39;13;-25
4554864;O;-7394;-3186;1828;-42;-6;92
4563108;J;-8258;-516;-1560;-47;-5;67
4563108;K;-8456;-378;-168;9;-29;7
4563108;L;-7758;2738;-688;69;3;127
4563108;M;-8278;-990;116;194;-42;-72
4563108;N;-8400;-254;68;35;5;-33
4563108;O;-7390;-3252;1878;-34;-2;91
4571268;J;-8270;-422;-1636;-45;-12;72
4571268;K;-8400;-350;-14;7;-30;-2
4571268;L;-7812;2752;-586;65;-6;135
4571268;M;-8290;-1032;116;193;-37;-67
4571268;N;-8368;-202;148;30;12;-28
4571268;O;-7324;-3230;1788;-26;1;95
4579428;J;-8288;-498;-1574;-39;-14;65
4579428;K;-8440;-424;-112;6;-22;-7
4579428;L;-7736;2788;-676;68;-9;131
4579428;M;-8286;-1012;120;189;-36;-70
4579428;N;-8344;-258;120;34;10;-33
4579428;O;-7374;-3286;1866;-13;6;100
4587672;J;-8220;-518;-1548;-36;-21;66
4587672;K;-8394;-382;-70;13;-20;-8
4587672;L;-7726;2778;-592;62;-11;139
