# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Wed Jun  8 11:41:09 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8252;-1356;-1198;96;-4;11
4464676;K;-8336;362;-1630;9;18;104
4464676;L;-8260;-770;128;174;-28;44
4464676;M;-8122;1790;384;378;-64;-54
4464676;N;-8266;622;900;328;-107;-65
4464676;O;-7410;2616;-1742;278;38;228
4472924;J;-8266;-1338;-1196;99;0;9
4472924;K;-8300;354;-1634;6;20;104
4472924;L;-8230;-848;152;179;-20;44
4472924;M;-8118;1766;326;380;-64;-72
4472924;N;-8324;578;1002;338;-110;-65
4472924;O;-7388;2556;-1768;306;48;223
4481084;J;-8206;-1262;-1264;107;1;9
4481084;K;-8322;328;-1690;5;18;93
4481084;L;-8220;-854;128;188;-25;49
4481084;M;-8192;1802;344;381;-76;-66
4481084;N;-8294;526;1022;325;-119;-74
4481084;O;-7408;2538;-1692;329;48;223
4489244;J;-8248;-1266;-1174;113;5;16
4489244;K;-8316;358;-1720;9;13;94
4489244;L;-8196;-882;98;190;-27;51
4489244;M;-8106;1822;372;389;-76;-54
4489244;N;-8270;676;1008;322;-113;-80
4489244;O;-7456;2540;-1742;351;41;215
4497404;J;-8292;-1330;-1258;115;11;5
4497404;K;-8336;310;-1668;21;7;86
4497404;L;-8256;-930;186;189;-29;43
4497404;M;-8144;1772;288;396;-68;-57
4497404;N;-8242;556;990;304;-110;-82
4497404;O;-7550;2494;-1742;357;29;219
4505564;J;-8254;-1318;-1224;110;7;17
4505564;K;-8342;356;-1740;19;8;77
4505564;L;-8216;-1018;158;189;-34;43
4505564;M;-8232;1760;290;393;-60;-48
4505564;N;-8234;586;960;284;-110;-92
4505564;O;-7612;2430;-1762;354;33;215
4513812;J;-8192;-1308;-1296;109;5;25
4513812;K;-8280;368;-1622;15;10;81
4513812;L;-8164;-1046;186;178;-41;43
4513812;M;-8204;1802;250;391;-57;-54
4513812;N;-8258;644;930;262;-97;-96
4513812;O;-7630;2416;-1768;343;21;217
4521968;J;-8272;-1286;-1396;75;-2;35
4521968;K;-8296;406;-1640;14;8;66
4521968;L;-8212;-1050;218;175;-61;42
4521968;M;-8150;1810;290;387;-53;-49
4521968;N;-8216;568;1008;239;-96;-98
4521968;O;-7690;2412;-1708;320;10;220
4530296;J;-8256;-1294;-1284;58;1;27
4530296;K;-8314;364;-1662;13;8;58
4530296;L;-8176;-1050;262;161;-75;32
4530296;M;-8156;1724;328;377;-55;-55
4530296;N;-8312;538;1086;223;-95;-100
