# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Wed Jun  8 11:30:42 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8214;-1228;-1718;-7;-38;50
4464676;K;-8218;-92;-2076;16;45;-76
4464676;L;-8216;-786;648;-12;-81;-8
4464676;M;-8062;2022;982;145;-88;59
4464676;N;-8354;488;298;7;-81;-49
4464676;O;-7754;2508;-1380;5;151;496
4472924;J;-8216;-1186;-1684;-1;-33;48
4472924;K;-8224;-60;-2070;12;53;-73
4472924;L;-8256;-808;546;-16;-69;-1
4472924;M;-8070;1996;992;146;-94;48
4472924;N;-8368;578;360;11;-82;-53
4472924;O;-7720;2442;-1422;-39;142;509
4481084;J;-8158;-1154;-1684;-5;-32;45
4481084;K;-8226;-90;-2210;20;42;-72
4481084;L;-8264;-780;522;-34;-53;-4
4481084;M;-8092;1942;942;146;-94;47
4481084;N;-8342;520;226;10;-82;-53
4481084;O;-7670;2364;-1458;-58;134;519
4489244;J;-8162;-1162;-1684;-4;-39;39
4489244;K;-8164;-138;-2152;11;54;-69
4489244;L;-8234;-738;500;-26;-60;-4
4489244;M;-8048;2014;990;157;-94;45
4489244;N;-8336;594;322;15;-79;-47
4489244;O;-7702;2256;-1416;-84;138;525
4497404;J;-8272;-1242;-1680;-15;-28;35
4497404;K;-8196;-48;-2160;8;50;-73
4497404;L;-8214;-694;602;-14;-55;6
4497404;M;-8072;2032;992;160;-100;39
4497404;N;-8328;566;336;16;-62;-50
4497404;O;-7688;2296;-1338;-78;133;517
4505564;J;-8164;-1208;-1692;-7;-34;26
4505564;K;-8208;-96;-2108;-1;54;-62
4505564;L;-8206;-682;536;-3;-54;7
4505564;M;-8006;2064;1018;160;-95;36
4505564;N;-8368;532;302;13;-50;-45
4505564;O;-7634;2338;-1290;-37;122;497
4513812;J;-8162;-1258;-1732;-3;-35;32
4513812;K;-8212;-84;-2120;1;47;-57
4513812;L;-8246;-648;518;9;-59;12
4513812;M;-7972;2096;984;168;-97;28
4513812;N;-8402;524;378;23;-43;-48
4513812;O;-7566;2436;-1270;39;87;491
4522052;J;-8146;-1222;-1702;10;-25;31
4522052;K;-8200;-90;-2184;0;52;-56
4522052;L;-8200;-740;580;31;-65;11
4522052;M;-8066;2086;1012;176;-97;33
4522052;N;-8364;604;402;34;-38;-44
4522052;O;-7484;2444;-1168;102;59;472
4530212;J;-8208;-1224;-1720;10;-29;32
4530212;K;-8258;-132;-2236;2;46;-53
4530212;L;-8218;-726;660;49;-61;13
4530212;M;-8046;2062;1016;176;-89;37
4530212;N;-8422;518;452;39;-36;-38
4530212;O;-7512;2384;-1188;175;32;441
4538544;J;-8226;-1232;-1682;14;-23;29
4538544;K;-8158;-116;-2206;3;40;-48
4538544;L;-8206;-718;582;76;-68;19
4538544;M;-8028;2082;1038;182;-88;25
4538544;N;-8422;536;340;38;-35;-37
4538544;O;-7496;2350;-1154;234;4;410
4546788;J;-8212;-1184;-1666;17;-28;26
4546788;K;-8182;-118;-2188;3;46;-36
4546788;L;-8230;-774;574;71;-70;12
4546788;M;-8060;2054;1048;187;-74;29
4546788;N;-8382;526;432;51;-33;-34
4546788;O;-7484;2396;-1206;300;-34;378
4554948;J;-8200;-1150;-1656;27;-26;16
4554948;K;-8224;-106;-2146;2;43;-35
4554948;L;-8240;-782;532;66;-73;12
4554948;M;-8070;2022;1052;195;-74;30
4554948;N;-8370;534;406;66;-22;-34
4554948;O;-7550;2400;-1216;368;-53;342
4563108;J;-8166;-1132;-1632;14;-24;13
4563108;K;-8210;-90;-2170;4;48;-20
4563108;L;-8274;-734;632;59;-54;7
4563108;M;-8070;2110;1060;202;-81;21
4563108;N;-8390;534;400;76;-29;-26
4563108;O;-7506;2350;-1242;433;-81;299
4571352;J;-8184;-1180;-1678;6;-23;18
4571352;K;-8170;-120;-2246;8;39;-18
4571352;L;-8264;-674;510;41;-30;7
4571352;M;-8050;2062;980;213;-78;15
4571352;N;-8316;514;360;81;-26;-21
4571352;O;-7516;2342;-1244;492;-105;257
4579596;J;-8154;-1276;-1690;-5;-33;17
4579596;K;-8142;-94;-2230;4;50;-15
4579596;L;-8204;-664;610;30;-19;8
4579596;M;-8074;2048;996;224;-83;24
4579596;N;-8332;534;374;79;-23;-28
4579596;O;-7516;2246;-1158;538;-132;213
4587928;J;-8072;-1262;-1696;4;-26;28
4587928;K;-8184;-92;-2166;10;51;-9
4587928;L;-8256;-580;554;38;-13;12
4587928;M;-8078;2084;1038;233;-74;9
4587928;N;-8304;606;282;77;-21;-32
4587928;O;-7522;2268;-1174;577;-164;177
4596172;J;-8140;-1268;-1718;12;-31;37
4596172;K;-8220;-82;-2136;8;52;-9
4596172;L;-8244;-596;504;47;-25;32
4596172;M;-8088;2018;1022;238;-82;14
4596172;N;-8252;542;356;75;-13;-29
4596172;O;-7490;2272;-1248;601;-178;139
4604332;J;-8176;-1236;-1718;15;-29;50
4604332;K;-8206;-104;-2124;18;47;-7
4604332;L;-8230;-574;576;66;-20;29
4604332;M;-8078;2052;1048;259;-86;-4
4604332;N;-8336;564;304;69;-13;-31
4604332;O;-7630;2272;-1348;605;-190;104
4612492;J;-8190;-1220;-1746;21;-27;39
4612492;K;-8212;-126;-2198;21;48;-7
4612492;L;-8234;-680;496;76;-35;31
4612492;M;-8078;2048;1052;271;-96;10
4612492;N;-8316;574;284;58;-8;-35
4612492;O;-7560;2208;-1388;599;-199;76
4620652;J;-8198;-1236;-1620;27;-27;50
4620652;K;-8178;-112;-2134;31;50;-5
4620652;L;-8294;-750;552;73;-49;27
4620652;M;-8060;2014;1062;281;-92;4
4620652;N;-8406;600;404;56;-2;-35
4620652;O;-7640;2218;-1394;592;-207;50
4628812;J;-8206;-1150;-1638;21;-27;40
4628812;K;-8220;-112;-2268;49;40;0
4628812;L;-8174;-818;564;74;-42;23
4628812;M;-8086;2024;1034;275;-92;5
4628812;N;-8322;578;330;49;8;-40
4628812;O;-7560;2180;-1394;571;-213;22
4637056;J;-8162;-1120;-1626;30;-26;45
4637056;K;-8224;-100;-2242;41;41;-2
4637056;L;-8200;-838;584;79;-46;24
4637056;M;-8120;1992;1114;273;-85;2
4637056;N;-8362;598;334;59;-1;-42
4637056;O;-7626;2170;-1510;532;-209;12
4645216;J;-8166;-1168;-1634;20;-22;35
4645216;K;-8168;-106;-2150;50;31;8
4645216;L;-8270;-790;586;71;-37;24
4645216;M;-8096;1948;1114;274;-90;1
4645216;N;-8334;534;410;58;7;-34
4645216;O;-7636;2128;-1604;476;-212;-3
4653464;J;-8162;-1150;-1642;19;-22;24
4653464;K;-8260;-30;-2204;34;33;-1
4653464;L;-8224;-770;520;74;-32;22
4653464;M;-8144;1964;1036;266;-81;3
4653464;N;-8368;546;372;55;10;-34
4653464;O;-7644;2152;-1592;393;-198;-14
4661624;J;-8198;-1160;-1630;16;-19;18
4661624;K;-8272;-104;-2148;33;39;-3
4661624;L;-8256;-740;578;66;-27;21
4661624;M;-8110;1974;1084;255;-82;-7
4661624;N;-8368;576;400;57;16;-36
4661624;O;-7666;2120;-1716;298;-172;-14
4669868;J;-8242;-1210;-1662;17;-21;31
4669868;K;-8218;-94;-2210;26;35;-9
4669868;L;-8280;-678;548;66;-20;27
4669868;M;-8118;1898;1010;251;-81;-3
4669868;N;-8336;564;408;72;18;-40
4669868;O;-7716;2092;-1702;187;-143;-22
4678196;J;-8250;-1186;-1674;23;-25;25
4678196;K;-8176;-72;-2214;21;41;-2
4678196;L;-8222;-710;500;74;-16;29
4678196;M;-8144;1926;984;247;-81;-13
4678196;N;-8342;540;428;78;21;-42
4678196;O;-7690;2102;-1796;83;-118;-26
4686356;J;-8208;-1232;-1652;17;-27;29
4686356;K;-8224;-106;-2192;30;34;-9
4686356;L;-8200;-724;502;82;-21;27
4686356;M;-8030;1942;1068;247;-74;-10
4686356;N;-8270;582;450;94;13;-40
4686356;O;-7670;2150;-1798;-19;-85;-27
4694604;J;-8188;-1158;-1702;21;-28;29
4694604;K;-8210;-106;-2148;31;30;-8
4694604;L;-8224;-704;592;79;-31;26
4694604;M;-8128;1920;970;245;-81;-18
4694604;N;-8280;576;374;103;19;-42
4694604;O;-7694;2164;-1760;-101;-59;-31
4702764;J;-8158;-1210;-1628;22;-29;25
4702764;K;-8172;-104;-2196;38;35;-15
4702764;L;-8278;-740;538;89;-41;27
4702764;M;-8130;1990;978;252;-76;-18
4702764;N;-8256;536;322;92;14;-38
4702764;O;-7602;2214;-1812;-175;-32;-44
4710924;J;-8270;-1164;-1708;21;-15;27
4710924;K;-8212;-102;-2172;41;28;-12
4710924;L;-8280;-800;516;91;-43;29
4710924;M;-8082;1944;996;268;-79;-19
4710924;N;-8282;558;370;98;15;-47
4710924;O;-7592;2222;-1752;-230;-15;-43
4719084;J;-8258;-1188;-1538;21;-22;22
4719084;K;-8240;-106;-2148;31;36;-13
4719084;L;-8234;-786;550;91;-34;33
4719084;M;-8082;1878;1088;268;-80;-19
4719084;N;-8242;628;252;95;4;-46
4719084;O;-7578;2234;-1738;-287;15;-56
4727244;J;-8200;-1166;-1616;32;-23;21
4727244;K;-8264;-140;-2228;40;30;-13
4727244;L;-8252;-700;578;88;-35;23
4727244;M;-8158;1938;1032;268;-88;-25
4727244;N;-8264;574;344;83;-5;-42
4727244;O;-7612;2240;-1714;-340;35;-55
4735404;J;-8140;-1168;-1602;27;-20;20
4735404;K;-8232;-138;-2296;40;32;-14
4735404;L;-8266;-678;484;82;-34;31
4735404;M;-8080;1964;1010;263;-86;-25
