# Corpus:;walk straight 20 meters;;;;;;
# System:;OSHWSP v1;;;;;;
# Acquisition time:;Thu Jun 16 13:16:39 2016;;;;;;
# Accelerometers:;Divide by 8192;g;;;;;
# Gyroscopes:;Divide by 32.8;º/s;;;;;
# Time unit:;microseconds;;;;;;
# Sampling frequency;> 100 Hz;;;;;;
# Sensors:;[J=left ankle, K=right ankle, L=left knee, M=right knee, N=hip, O=wrist];;;;;;
time;sensor;xAcc;yAcc;zAcc;xGyr;yGyr;zGyr
4464676;J;-8458;306;-862;7;7;-5
4464676;K;-8460;-420;-304;-12;16;22
4464676;L;-8190;804;1036;55;-62;43
4464676;M;-8326;-1428;748;201;-36;2
4464676;N;-8234;-946;822;28;42;-81
4464676;O;-7592;-2660;1750;53;-26;10
4473008;J;-8366;300;-862;1;6;-4
4473008;K;-8472;-414;-476;-14;9;26
4473008;L;-8188;752;976;48;-71;43
4473008;M;-8176;-1422;758;204;-44;17
4473008;N;-8272;-930;688;39;48;-79
4473008;O;-7586;-2660;1744;47;-27;5
4481336;J;-8374;252;-892;-3;3;-6
4481336;K;-8488;-414;-486;-13;13;25
4481336;L;-8220;796;1106;42;-56;45
4481336;M;-8070;-1502;624;207;-44;16
4481336;N;-8288;-964;688;38;51;-69
4481336;O;-7546;-2594;1782;36;-29;2
4489496;J;-8372;322;-888;-5;8;-16
4489496;K;-8450;-400;-376;-7;14;26
4489496;L;-8196;776;1052;48;-58;42
4489496;M;-8162;-1560;634;217;-38;12
4489496;N;-8256;-958;742;32;48;-74
4489496;O;-7614;-2648;1716;31;-23;-1
4497656;J;-8422;288;-894;-11;6;-16
4497656;K;-8450;-426;-352;-9;11;32
4497656;L;-8198;862;1030;41;-59;46
4497656;M;-8264;-1360;660;221;-33;-9
4497656;N;-8292;-1024;668;42;45;-71
4497656;O;-7562;-2650;1806;28;-16;2
4505816;J;-8334;372;-854;-7;0;-19
4505816;K;-8428;-436;-400;-14;18;31
4505816;L;-8146;796;986;47;-65;51
4505816;M;-8294;-1334;706;217;-31;-9
4505816;N;-8270;-966;740;35;28;-68
4505816;O;-7590;-2594;1718;32;-11;6
4513976;J;-8348;352;-934;-3;-3;-22
4513976;K;-8488;-358;-390;-18;11;28
4513976;L;-8170;846;996;31;-64;44
4513976;M;-8310;-1330;728;215;-30;0
4513976;N;-8244;-974;728;45;24;-68
4513976;O;-7530;-2658;1808;38;-3;8
4522136;J;-8426;302;-944;-10;-1;-24
4522136;K;-8490;-356;-362;-17;16;27
4522136;L;-8098;794;1038;31;-60;43
4522136;M;-8212;-1322;682;208;-40;-3
4522136;N;-8264;-990;614;40;6;-69
4522136;O;-7556;-2630;1734;52;0;15
4530384;J;-8384;346;-950;-19;0;-23
4530384;K;-8428;-376;-366;-15;13;31
4530384;L;-8152;778;956;26;-53;37
4530384;M;-8282;-1368;710;212;-43;10
4530384;N;-8258;-928;678;33;-5;-79
4530384;O;-7522;-2640;1822;62;6;21
4538628;J;-8428;276;-956;-16;4;-30
4538628;K;-8460;-404;-298;-23;22;32
4538628;L;-8132;752;990;38;-51;35
4538628;M;-8236;-1360;666;209;-43;8
4538628;N;-8184;-920;706;25;-9;-83
4538628;O;-7466;-2620;1838;79;11;30
4546788;J;-8316;276;-942;-6;-3;-34
4546788;K;-8444;-376;-352;-14;22;30
4546788;L;-8204;754;1008;36;-63;33
4546788;M;-8250;-1392;674;201;-40;1
4546788;N;-8272;-908;726;13;-17;-82
4546788;O;-7532;-2628;1874;80;10;40
4555032;J;-8392;306;-908;-3;0;-29
4555032;K;-8416;-446;-412;-21;17;39
4555032;L;-8138;742;1032;29;-57;30
4555032;M;-8286;-1342;678;194;-46;10
4555032;N;-8216;-862;714;23;-10;-90
4555032;O;-7548;-2594;1852;72;11;51
4563192;J;-8366;272;-906;3;-2;-26
4563192;K;-8426;-446;-360;-18;22;32
4563192;L;-8184;762;1006;30;-62;27
